blocktime,token,balance,Price,usd_price
2022-01-11 17:00:48,USDT,161.497409,1.0010964178053856,161.67447763475124
2022-01-11 17:00:48,stSOL,0.876439286,138.52682120459937,121.41034826840873
2022-01-11 17:03:18,USDT,149.402162,1.0010964178053856,149.56596919057992
2022-01-11 17:03:18,stSOL,0.947575047,138.52682120459937,131.26455911370883
2022-01-14 03:37:30,USDT,301.302661,0.9994785132702564,301.14553566065206
2022-01-14 03:37:30,stSOL,1.936034264,149.6459398836306,289.71966708319303
2022-01-14 07:17:53,USDT,753642.127196,0.9994785132702564,753249.1128276915
2022-01-14 07:17:53,stSOL,4862.072892754,149.6459398836306,727589.4678188951
2022-01-14 07:18:19,USDT,753324.867581,0.9994785132702564,752932.0186593706
2022-01-14 07:18:19,stSOL,4864.125667224,149.6459398836306,727896.6571838273
2022-01-14 07:18:37,stSOL,4864.914549363,149.6459398836306,728014.7101929755
2022-01-14 07:18:37,USDT,753203.015702,0.9994785132702564,752810.2303245085
2022-01-14 07:18:46,USDT,753085.09896,0.9994785132702564,752692.3750745247
2022-01-14 07:18:46,stSOL,4865.678198385,149.6459398836306,728128.9871686137
2022-01-14 07:18:58,USDT,752782.813914,0.9994785132702564,752390.2476661649
2022-01-14 07:18:58,stSOL,4867.636942162,149.6459398836306,728422.1052221141
2022-01-14 07:19:02,USDT,752685.8646130001,0.9994785132702564,752293.3489229388
2022-01-14 07:19:02,stSOL,4868.26548701,149.6459398836306,728516.1644066521
2022-01-14 07:19:10,USDT,752546.004342,0.9994785132702564,752153.5615872141
2022-01-14 07:19:10,stSOL,4869.172519287,149.6459398836306,728651.8981042486
2022-01-14 07:19:19,stSOL,4870.756060285,149.6459398836306,728888.8685852386
2022-01-14 07:19:19,USDT,752301.954149,0.9994785132702564,751909.6386631511
2022-01-14 07:19:28,USDT,752284.618864,0.9994785132702564,751892.3124182721
2022-01-14 07:19:28,stSOL,4870.868580971,149.6459398836306,728905.7068490513
2022-01-14 07:19:34,USDT,752195.463852,0.9994785132702564,751803.2038994278
2022-01-14 07:19:34,stSOL,4871.447354431,149.6459398836306,728992.3179474528
2022-01-14 07:19:41,USDT,752007.406365,0.9994785132702564,751615.2444819116
2022-01-14 07:19:41,stSOL,4872.668630184,149.6459398836306,729175.0769053675
2022-01-14 07:19:47,USDT,751917.915414,0.9994785132702564,751525.8001992551
2022-01-14 07:19:47,stSOL,4873.250013700001,149.6459398836306,729262.0785880523
2022-01-14 07:20:01,stSOL,4874.337296821001,149.6459398836306,729424.7860926139
2022-01-14 07:20:01,USDT,751750.609789,0.9994785132702564,751358.5818219184
2022-01-14 07:20:03,USDT,751730.591972,0.9994785132702564,751338.5744439443
2022-01-14 07:20:03,stSOL,4874.467420786,149.6459398836306,729444.2586156577
2022-01-14 07:20:09,USDT,751572.590331,0.9994785132702564,751180.6551987034
2022-01-14 07:20:09,stSOL,4875.494739067,149.6459398836306,729597.9926253776
2022-01-14 07:20:16,USDT,751518.57002,0.9994785132702564,751126.6630585786
2022-01-14 07:20:16,stSOL,4875.846075511,149.6459398836306,729650.5686977553
2022-01-14 07:20:21,stSOL,4876.196029533,149.6459398836306,729702.9378962936
2022-01-14 07:20:21,USDT,751464.769995,0.9994785132702564,751072.8910895777
2022-01-14 07:20:30,stSOL,4876.644996688,149.6459398836306,729770.1240081805
2022-01-14 07:20:30,USDT,751395.759522,0.9994785132702564,751003.9166046237
2022-01-14 07:20:36,USDT,751322.00206,0.9994785132702564,750930.1976061612
2022-01-14 07:20:36,stSOL,4877.124938018,149.6459398836306,729841.9452795972
2022-01-14 07:20:48,USDT,751032.983074,0.9994785132702564,750641.3293397272
2022-01-14 07:20:48,stSOL,4879.006499743,149.6459398836306,730123.513352384
2022-01-14 07:20:59,USDT,750913.56952,0.9994785132702564,750521.9780583109
2022-01-14 07:20:59,stSOL,4879.784325354,149.6459398836306,730239.9117970077
2022-01-14 07:21:10,USDT,750848.3288489999,0.9994785132702564,750456.771409455
2022-01-14 07:21:10,stSOL,4880.209389005,149.6459398836306,730303.5208465719
