blocktime,token,balance,Price,usd_price
2021-10-07 16:17:32,SOL,50.3,154.09462360903782,7750.959567534602
2021-10-07 16:17:32,stSOL,49.700742011,155.1689893697156,7712.013908771837
2021-10-07 16:25:51,SOL,68.406712179,154.09462360903782,10541.106565554788
2021-10-07 16:25:51,stSOL,50.0,155.1689893697156,7758.44946848578
2021-10-07 16:52:26,SOL,79.305736281,154.09462360903782,12220.58758225831
2021-10-07 16:52:26,stSOL,67.754059718,155.1689893697156,10513.328972137417
2021-10-07 16:56:31,SOL,89.151007003,154.09462360903782,13737.69086849398
2021-10-07 16:56:31,stSOL,87.588623532,155.1689893697156,13591.03819374493
2021-10-07 16:57:34,SOL,222.923489478,154.09462360903782,34351.31120472572
2021-10-07 16:57:34,stSOL,214.893611837,155.1689893697156,33344.82457075525
2021-10-07 16:59:07,SOL,264.380445217,154.09462360903782,40739.605195303455
2021-10-07 16:59:07,stSOL,255.883128358,155.1689893697156,39705.12642407208
2021-10-07 17:01:12,SOL,269.86933084,154.09462360903782,41585.4129594127
2021-10-07 17:01:12,stSOL,331.010458451,155.1689893697156,51362.5583086479
2021-10-07 17:02:51,stSOL,366.070413137,155.1689893697156,56802.77604462255
2021-10-07 17:02:51,SOL,304.449956029,154.09462360903782,46914.10138207687
2021-10-07 17:04:56,SOL,330.449956029,154.09462360903782,50920.56159591186
2021-10-07 17:04:56,stSOL,417.586717552,155.1689893697156,64796.508936760714
2021-10-07 17:06:16,SOL,358.647137671,154.09462360903782,55265.595687871515
2021-10-07 17:06:16,stSOL,442.586717551,155.1689893697156,68675.73367084844
2021-10-07 17:07:39,SOL,358.647137671,154.09462360903782,55265.595687871515
2021-10-07 17:07:39,stSOL,477.646482864,155.1689893697156,74115.92202200607
2021-10-07 17:09:17,stSOL,477.646482864,155.1689893697156,74115.92202200607
2021-10-07 17:09:17,SOL,469.412047183,154.09462360903782,72333.8727282123
2021-10-07 17:10:13,SOL,456.78207253,154.09462360903782,70387.66153786656
2021-10-07 17:10:13,stSOL,680.960347063,155.1689893697156,105663.92885461649
2021-10-07 17:11:23,SOL,512.778688973,154.09462360903782,79016.43907203032
2021-10-07 17:11:23,stSOL,682.956963506,155.1689893697156,105973.74181023576
2021-10-07 17:13:28,SOL,593.578688973,154.09462360903782,91467.28465964057
2021-10-07 17:13:28,stSOL,743.529644229,155.1689893697156,115372.74346143813
2021-10-07 17:18:30,SOL,1298.214512951,154.09462360903782,200047.8767369747
2021-10-07 17:18:30,stSOL,1271.145467672,155.1689893697156,197242.35756055874
2021-10-07 17:21:39,stSOL,1701.714319026,155.1689893697156,264053.29107923823
2021-10-07 17:21:39,SOL,1508.512825848,154.09462360903782,232453.71610845358
2021-10-07 17:23:30,SOL,1670.539920958,154.09462360903782,257421.22034389482
2021-10-07 17:23:30,stSOL,1849.477946626,155.1689893697156,286981.62383953325
2021-10-07 17:25:11,SOL,1766.819873343,154.09462360903782,272257.4433677574
2021-10-07 17:25:11,stSOL,1954.65033185,155.1689893697156,303301.11656434374
2021-10-07 17:27:21,SOL,1811.776631905,154.09462360903782,279185.03815705125
2021-10-07 17:27:21,stSOL,2007.634986262,155.1689893697156,311522.6918415574
2021-10-07 17:28:59,stSOL,2364.092200177,155.1689893697156,366833.7974782925
2021-10-07 17:28:59,SOL,1893.360132971,154.09462360903782,291756.6170465241
2021-10-07 17:32:40,SOL,2506.597688642,154.09462360903782,386253.22737057315
2021-10-07 17:32:40,stSOL,2888.6025848,155.1689893697156,448221.5437741642
2021-10-07 17:34:19,SOL,2810.048704889,154.09462360903782,433013.3975029347
2021-10-07 17:34:19,stSOL,3172.104636624,155.1689893697156,492212.270639935
2021-10-07 17:36:04,SOL,2829.698124339,154.09462360903782,436041.26739721856
2021-10-07 17:36:04,stSOL,3242.664975922,155.1689893697156,503161.0471783899
2021-10-07 17:38:26,SOL,2838.42708983,154.09462360903782,437386.3540490505
2021-10-07 17:38:26,stSOL,3272.713062249,155.1689893697156,507823.57836624444
2021-10-07 17:39:44,stSOL,3295.75819938,155.1689893697156,511399.4690047483
2021-10-07 17:39:44,SOL,2819.469573825,154.09462360903782,434465.1027556977
2021-10-07 17:41:12,SOL,3552.324044625,154.09462360903782,547394.0365938243
2021-10-07 17:41:12,stSOL,3332.809519918,155.1689893697156,517148.6849674431
2021-10-07 17:43:00,SOL,3140.574811809,154.09462360903782,483945.6935417327
2021-10-07 17:43:00,stSOL,3748.471699619,155.1689893697156,581646.5653108604
2021-10-07 17:45:40,SOL,3259.750156791,154.09462360903782,502309.97347021115
2021-10-07 17:45:40,stSOL,3776.515836907,155.1689893697156,585998.1457515849
2021-10-07 17:48:45,SOL,3558.024055538,154.09462360903782,548272.3776300304
2021-10-07 17:48:45,stSOL,3881.680807527,155.1689893697156,602316.4879597862
2021-10-07 17:50:45,SOL,3701.864308463,154.09462360903782,570437.387264337
2021-10-07 17:50:45,stSOL,4145.431296769,155.1689893697156,643242.3848212353
2021-10-07 17:52:13,SOL,3651.82485666,154.09462360903782,562726.5767731512
2021-10-07 17:52:13,stSOL,4215.939913732,155.1689893697156,654183.1356572404
2021-10-07 17:54:29,SOL,3719.794501969,154.09462360903782,573200.3336838813
2021-10-07 17:54:29,stSOL,4276.031986648,155.1689893697156,663507.5618807474
2021-10-07 17:56:02,SOL,5286.754927117,154.09462360903782,814660.5106073203
2021-10-07 17:56:02,stSOL,4706.679236944,155.1689893697156,730330.6604840247
2021-10-07 17:57:59,stSOL,5457.779240876,155.1689893697156,846878.0890097425
2021-10-07 17:57:59,SOL,4707.495677098,154.09462360903782,725399.7745035889
2021-10-07 18:00:33,SOL,4851.517463652,154.09462360903782,747592.7574941288
2021-10-07 18:00:33,stSOL,5567.935956091,155.1689893697156,863970.9951819417
2021-10-07 18:03:56,SOL,4882.653691441,154.09462360903782,752390.68279588
2021-10-07 18:03:56,stSOL,5597.978511613,155.1689893697156,868632.6681603739
2021-10-07 18:06:16,SOL,5099.101928416,154.09462360903782,785744.1924033825
2021-10-07 18:06:16,stSOL,5645.961094095,155.1689893697156,876078.0769914549
2021-10-07 18:08:13,SOL,5239.246617435,154.09462360903782,807339.7355085709
2021-10-07 18:08:13,stSOL,6021.409668009,155.1689893697156,934336.0527659912
2021-10-07 18:09:50,SOL,5309.642673936,154.09462360903782,818187.3893386532
2021-10-07 18:09:50,stSOL,6037.663263624,155.1689893697156,936858.1067711948
2021-10-07 18:11:23,SOL,5323.771740569,154.09462360903782,820364.6025434122
2021-10-07 18:11:23,stSOL,6131.754575627,155.1689893697156,951458.160563171
